text,label
"Уважаемый Иван Иванович, прошу предоставить отчет о проделанной работе за первый квартал 2023 года до 15 апреля включительно. С уважением, Петров П.П.",письмо
"ПРИКАЗ № 145-к от 12.05.2023. О назначении ответственного за пожарную безопасность. 1. Назначить инженера по охране труда Сидорова С.С. ответственным за пожарную безопасность в организации. 2. Контроль за исполнением настоящего приказа возложить на заместителя директора по общим вопросам.",приказ
"Генеральному директору ООО «Ромашка» Петрову П.П. Исх. № 45-и от 12.05.2023. Уважаемый Петр Петрович, прошу рассмотреть возможность продления договора аренды офисного помещения по адресу: г. Москва, ул. Ленина, д. 25 на следующий год на прежних условиях. С уважением, Иванов И.И., директор ООО «Василек»",письмо
"ПРИКАЗ № 78 от 03.04.2023. О проведении ежегодного медицинского осмотра сотрудников. В соответствии с требованиями трудового законодательства и в целях обеспечения безопасности труда приказываю: 1. Организовать проведение ежегодного обязательного медицинского осмотра всех сотрудников предприятия в период с 15 по 30 мая 2023 года. 2. Назначить ответственным за организацию осмотра начальника отдела кадров Кузнецову Е.В.",приказ
"Директору по развитию ООО «ТехноПрогресс» Смирнову А.В. На № ________ от _________. Уважаемый Алексей Владимирович, направляем Вам коммерческое предложение на поставку оргтехники для вашего офиса. В приложении вы найдете полный каталог продукции и прайс-лист. Будем рады сотрудничеству! С наилучшими пожеланиями, менеджер по продажам Орлова М.С., ООО «ОфисТехника»",письмо
"ПРИКАЗ № 201 от 25.06.2023. Об утверждении графика отпусков на второе полугодие 2023 года. На основании статей 123 Трудового кодекса РФ и представленных заявлений сотрудников приказываю: 1. Утвердить график отпусков на второе полугодие 2023 года согласно приложению № 1. 2. Руководителям структурных подразделений ознакомить сотрудников с утвержденным графиком отпусков под роспись в трехдневный срок.",приказ
"В отдел бухгалтерии ООО «СтройИнвест». Исх. № 189-р от 18.07.2023. Прошу произвести оплату по договору № 456 от 10.07.2023 с ООО «Поставщик» в размере 150 000 (сто пятьдесят тысяч) рублей 00 копеек за поставку строительных материалов. Основание: счет № 789 от 15.07.2023. Главный инженер Николаев В.К.",письмо
"ПРИКАЗ № 56-лс от 09.03.2023. О внесении изменений в правила внутреннего трудового распорядка. В связи с изменением производственной необходимости и в соответствии со статьей 190 Трудового кодекса РФ приказываю: 1. Внести изменения в раздел 4 Правил внутреннего трудового распорядка, утвержденных приказом № 12 от 15.01.2020, в части изменения времени начала обеденного перерыва с 13:00 до 13:30. 2. Настоящий приказ ввести в действие с 20 марта 2023 года.",приказ
"Руководителю отдела IT ООО «Компания» Волкову Д.С. Уважаемый Дмитрий Сергеевич, обращаюсь к Вам с просьбой настроить удаленный доступ к корпоративной почте для сотрудника отдела маркетинга Семеновой А.К., так как ей предстоит командировка с 01.08.2023 по 10.08.2023. Прошу выполнить данную настройку до 28.07.2023. Заместитель директора по персоналу Громова О.И.",письмо
"ПРИКАЗ № 92-к от 17.08.2023. О назначении ответственного за электрохозяйство. В соответствии с требованиями Правил технической эксплуатации электроустановок потребителей приказываю: 1. Назначить главного энергетика Федорова П.В. ответственным за электрохозяйство организации с 21 августа 2023 года. 2. Возложить на ответственного за электрохозяйство обязанности по организации безопасной эксплуатации электроустановок.",приказ
"В юридический отдел. Исх. № 67-ю от 22.09.2023. Прошу подготовить проект дополнительного соглашения к договору аренды № 234/2022 от 15.11.2022 с ООО «Арендодатель» о продлении срока действия договора на 1 год на прежних условиях. Коммерческий директор Зайцева Т.Н.",письмо
"ПРИКАЗ № 134 от 05.10.2023. О создании комиссии по списанию основных средств. В целях проведения инвентаризации и списания непригодного к дальнейшей эксплуатации оборудования приказываю: 1. Создать комиссию по списанию основных средств в составе: председатель - заместитель директора по экономике Соколов А.И., члены комиссии - главный бухгалтер Виноградова Л.М., начальник технического отдела Павлов Р.Д. 2. Комиссии представить акт списания до 20 октября 2023 года.",приказ
"Генеральному директору ЗАО «Инновация» Козлову И.П. Уважаемый Игорь Петрович, благодарим Вас за проявленный интерес к нашей продукции. Направляем Вам дополнительную техническую документацию и условия сотрудничества. Готовы ответить на все Ваши вопросы. С уважением, директор по продажам Белова Е.А., ООО «ТехноЛидер»",письмо
"ПРИКАЗ № 177 от 28.11.2023. О премировании сотрудников по итогам года. По итогам работы за 2023 год и в целях мотивации персонала приказываю: 1. Выплатить годовую премию в размере трех должностных окладов следующим сотрудникам: Иванову А.С., Петровой М.К., Сидорову В.В. 2. Выплатить годовую премию в размере двух должностных окладов всем остальным сотрудникам организации. 3. Бухгалтерии произвести указанные выплаты до 20 декабря 2023 года.",приказ
"В отдел закупок. Исх. № 234-з от 14.12.2023. Прошу закупить канцелярские товары для отдела продаж на первый квартал 2024 года согласно прилагаемой спецификации. Общая сумма закупки не должна превышать 50 000 рублей. Начальник отдела продаж Михайлова А.В.",письмо























